name,data_sensitivity,size,year
Houzz,SSN,57000000,2019
Gett,email,1800000,2019
Coinmama,email,450000,2019
Roll20,email,4000000,2019
Stronghold Kingdoms,email,5000000,2019
Petflow,email,1000000,2019
500px,SSN,14800000,2019
Blur,email,2400000,2019
Blank Media Games,email,7600000,2019
Indian citizens,SSN,275265298,2019
Bulgarian National Revenue Agency,SSN,5000000,2019
Capital One,Credit Card,100000000,2019
Suprema,Full Details,27800000,2019
Facebook,SSN,419000000,2019
DoorDash,SSN,4900000,2019
BriansClub,Credit Card,26000000,2019
OxyData,SSN,380000000,2019
Click2Gov,Credit Card,300000,2018
SingHealth,Personal Details,1500000,2018
GovPayNowcom,SSN,14000000,2018
Cathay Pacific Airways,Credit Card,94000000,2018
Chinese resume leak,SSN,202000000,2018
Google+,SSN,52500000,2018
Quora,email,100000000,2018
Marriott International,Credit Card,383000000,2018
NMBS,SSN,700000,2018
Facebook,email,50000000,2018
Panerabread,SSN,37000000,2018
Dixons Carphone,email,10000000,2018
MyHeritage,email,92283889,2018
Saks and Lord & Taylor,Credit Card,5000000,2018
Careem,SSN,14000000,2018
Texas voter records,SSN,14800000,2018
British Airways,Personal Details,380000,2018
T-Mobile,email,2000000,2018
MyFitnessPal,email,150000000,2018
Helse Sør-Øst RHF,Personal Details,3000000,2018
Nametests,email,120000000,2018
Ticketmaster,Credit Card,40000,2018
Firebase,Full Details,100000000,2018
Aadhaar,Personal Details,550000000,2018
Grindr,Credit Card,3000000,2018
Orbitz,Credit Card,880000,2018
MBM Company,Personal Details,1300000,2018
LocalBlox,SSN,48000000,2018
Twitter,email,330000000,2018
ViewFines,Personal Details,934000,2018
TicketFly,SSN,27000000,2018
Amazon,email,5000000,2018
Urban Massage,SSN,309000,2018
Dell ,email,100000,2018
High Tail Hall,SSN,411000,2018
SKY Brasil,email,32000000,2018
Vision Direct,Personal Details,16300,2018
Medicare & Medicaid,SSN,93689,2018
Facebook,SSN,29000000,2018
Newegg,Credit Card,45000000,2018
Mount Olympus,Full Details,1100,2016
Apollo,email,200000000,2018
Disqus,Personal Details,17500000,2017
RootsWeb,Personal Details,300000,2017
Yahoo,Personal Details,32000000,2017
Uber,email,57000000,2017
Wonga,Personal Details,270000,2017
Snapchat,email,1700000,2017
Spambot,Personal Details,520000000,2017
CEX,Credit Card,2000000,2017
Altype,Personal Details,31000000,2017
Cellebrite,SSN,3000000,2017
Waterly,Credit Card,1000000,2017
Swedish Transport Agency,Full Details,3000000,2017
Hong Kong Registration & Electoral Office,SSN,3700000,2017
River City Media,SSN,340000000,2017
DaFont,Personal Details,700000,2017
Bell,email,1900000,2017
Zomato,Personal Details,17000000,2017
Imgur,Personal Details,1700000,2017
TIO Networks,Personal Details,1600000,2017
Malaysian telcos & MVNOs,Personal Details,46200000,2017
Malaysian medical practitioners,Personal Details,81309,2017
Instagram,email,6000000,2017
Viacom,Personal Details,3000000,2017
Equifax,Personal Details,143000000,2017
SVR Tracking,Personal Details,540000,2017
LinkedIn,email,117000000,2016
Tumblr,email,65000000,2016
Yahoo,SSN,500000000,2016
Mossack Fonseca,Full Details,11500000,2016
Philippines’ Commission on Elections,Full Details,55000000,2016
Syrian government,email,274477,2016
Minecraft,email,7000000,2016
Turkish citizenship database,SSN,49611709,2016
Banner Health,Credit Card,3700000,2016
Mail ru,SSN,25000000,2016
PayAsUGym,email,300000,2016
Lyndacom,email,9500000,2016
Linux Ubuntu forums,email,2000000,2016
Wendy's,Credit Card,1025,2016
Clinton campaign,SSN,5000000,2016
uTorrent ,email,35000,2016
World Check,Credit Card,2200000,2016
Mutuelle Generale de la Police,Full Details,112000,2016
VK,Personal Details,171000000,2016
KMru & Nival,Personal Details,1500000,2016
Fling,Personal Details,40000000,2016
MySpace,email,164000000,2016
Three,SSN,130000,2016
Red Cross Blood Service,Personal Details,550000,2016
Telegram ,email,15000000,2016
Dailymotion,email,85200000,2016
Weebly,Personal Details,43000000,2016
Interpark,SSN,10000000,2016
Quest Diagnostics,Personal Details,34000,2016
Friend Finder Network,email,412000000,2016
Brazzers,Personal Details,790724,2016
ClixSense,Full Details,6600000,2016
Carefirst,email,1100000,2015
Twitch,email,10000000,2015
Premera,Full Details,11000000,2015
Uber,email,50000,2015
Deep Root Analytics,SSN,198000000,2015
Kromtech,email,13000000,2015
Invest Bank,Personal Details,40000,2015
Sanrio,SSN,3300000,2015
VTech,Full Details,6400000,2015
Hacking Team,Full Details,500000,2015
AshleyMadisoncom,email,37000000,2015
US Office of Personnel Management (2nd Breach),Full Details,21500000,2015
US Office of Personnel Management,SSN,4000000,2015
Australian Immigration Department,Personal Details,30,2015
IRS,email,100000,2015
MSpy,SSN,400000,2015
Adult Friend Finder,email,3900000,2015
Securus Technologies,Full Details,70000000,2015
TalkTalk,SSN,157000,2015
Experian / T-mobile,Credit Card,15000000,2015
Slack,email,500000,2015
CarPhone Warehouse,Credit Card,2400000,2015
British Airways,email,10000,2015
Anthem ,SSN,80000000,2015
UCLA Health,Personal Details,4500000,2015
Neiman Marcus,SSN,1100000,2014
AOL,email,2400000,2014
Community Health Systems,SSN,4500000,2014
Privatization Agency of the Republic of Serbia,SSN,5190396,2014
Sony Pictures,SSN,10000000,2014
Indiana University,SSN,146000,2014
Ebay,email,145000000,2014
UPS,Credit Card,4000000,2014
European Central Bank,email,4000000,2014
JP Morgan Chase,Credit Card,76000000,2014
New York Taxis,email,52000,2014
HSBC Turkey,Personal Details,2700000,2014
Japan Airlines,SSN,750000,2014
Staples,Credit Card,1160000,2014
GMail,email,5000000,2014
Home Depot,Credit Card,56000000,2014
Korea Credit Bureau,Full Details,20000000,2014
Dominios Pizzas (France),email,600000,2014
Mozilla,SSN,76000,2014
Massive American business hack,Full Details,160000000,2013
Affinity Health Plan Inc,Personal Details,344579,2013
Citigroup,SSN,150000,2013
Tianya,email,40000000,2013
Scribd,email,50000000,2013
Living Social,email,50000000,2013
Yahoo,SSN,550000000,2013
SnapChat,SSN,4600000,2013
University of Delaware,SSN,74000,2013
Central Hudson Gas & Electric,Credit Card,110000,2013
Twitter,email,250000,2013
Crescent Health Inc Walgreens,Personal Details,100000,2013
Florida Department of Juvenile Justice,SSN,100000,2013
Advocate Medical Group,SSN,4000000,2013
OVH,SSN,200000,2013
Apple,email,275000,2013
NASDAQ,email,500000,2013
UbiSoft,SSN,58000000,2013
Ubuntu,Credit Card,2000000,2013
Nintendo,SSN,4000000,2013
National Security Agency,Full Details,1500000,2013
Facebook,email,6000000,2013
Evernote,email,50000000,2013
Kirkwood Community College,SSN,125000,2013
Yahoo Japan,email,22000000,2013
Drupal,email,1000000,2013
TerraCom & YourTel,SSN,170000,2013
Washington State court system,SSN,160000,2013
MacRumourscom,email,860000,2013
Court Ventures,SSN,200000000,2013
Vodafone,Credit Card,2000000,2013
Adobe,Credit Card,38000000,2013
D&B Altegrity,Credit Card,1000000,2013
ssndobms,SSN,4000000,2013
Target,Credit Card,70000000,2013
China Software Developer Network,email,6000000,2012
Global Payments,Credit Card,1500000,2012
South Carolina Government,Personal Details,228000,2012
Three Iranian banks,Full Details,3000000,2012
California Department of Child Support Services,SSN,800000,2012
Emory Healthcare,Personal Details,315000,2012
Office of the Texas Attorney General,SSN,6500000,2012
Medicaid,Full Details,780000,2012
Blizzard,SSN,14000000,2012
New York State Electric & Gas,SSN,1800000,2012
Memorial Healthcare System,SSN,102153,2012
Zappos,SSN,24000000,2012
Formspring,email,420000,2012
KT Corp,SSN,8700000,2012
Yahoo Voices,email,450000,2012
Lastfm,email,43500000,2012
LinkedIn eHarmony Lastfm,email,8000000,2012
Gamigo,email,8000000,2012
Militarysinglescom,email,163792,2012
"""Apple""",SSN,12367232,2012
Greek government,SSN,9000000,2012
South Carolina State Dept of Revenue,email,3600000,2012
Dropbox,email,68700000,2012
New York City Health & Hospitals Corp,Personal Details,1700000,2011
Seacoast Radiology PA,SSN,231400,2011
South Shore Hospital Massachusetts,Full Details,800000,2011
Betfair,Credit Card,2300000,2011
Ankle & foot Center of Tampa Bay Inc,Personal Details,156000,2011
Yale University,SSN,43000,2011
Morgan Stanley Smith Barney,Credit Card,34000,2011
State of Texas,SSN,3500000,2011
Epsilon,email,3000000,2011
Sony PSN,email,77000000,2011
US Law Enforcement,Credit Card,123461,2011
University of Wisconsin - Milwaukee,SSN,73000,2011
Stratfor,Credit Card,935000,2011
Chinese gaming sites,email,10000000,2011
Southern California Medical-Legal Consultants,SSN,300000,2011
Writerspacecom,email,62000,2011
Bethesda Game Studios,email,200000,2011
Sega,SSN,1290755,2011
Citigroup,Credit Card,210000,2011
Sony Pictures,email,1000000,2011
Accendo Insurance Co ,SSN,175350,2011
Washington Post,SSN,1270000,2011
Health Net - IBM,Credit Card,1900000,2011
Eisenhower Medical Center,Personal Details,514330,2011
Spartanburg Regional Healthcare System,Personal Details,400000,2011
NHS,Personal Details,8600000,2011
San Francisco Public Utilities Commission ,email,180000,2011
Sony Online Entertainment,Credit Card,24600000,2011
Honda Canada,SSN,283000,2011
Massachusetts Government,Full Details,210000,2011
Oregon Department of Motor Vehicles,SSN,1000000,2011
Steam,Credit Card,35000000,2011
Restaurant Depot,Credit Card,200000,2011
Nexon Korea Corp,SSN,13200000,2011
Nemours Foundation,Personal Details,1600000,2011
Sutter Medical Foundation,SSN,4243434,2011
Tricare,Personal Details,4901432,2011
AvMed Inc,SSN,1220000,2010
Blue Cross Blue Shield of Tennessee,SSN,1023209,2010
US Military,Full Details,260000,2010
Gawkercom,SSN,1500000,2010
Triple-S Salud Inc,Personal Details,398000,2010
Ohio State University,SSN,760000,2010
Emergency Healthcare Physicians Ltd,Personal Details,180111,2010
Colorado government,SSN,105470,2010
AT&T,email,114000,2010
Lincoln Medical & Mental Health Center,Personal Details,130495,2010
Educational Credit Management Corp,SSN,3300000,2010
US Federal Reserve Bank of Cleveland,Credit Card,400000,2010
Classified Iraq War documents,SSN,392000,2010
Heartland,Credit Card,130000000,2009
US National Guard,SSN,131000,2009
RockYou!,email,32000000,2009
CheckFree Corporation,email,5000000,2009
Network Solutions,Credit Card,573000,2009
Virginia Prescription Monitoring Program,SSN,531400,2009
University of California Berkeley,Credit Card,160000,2009
Health Net ,Personal Details,1500000,2009
US Military,SSN,76000000,2009
Compass Bank,Credit Card,1000000,2008
Hannaford Brothers Supermarket Chain,Credit Card,4200000,2008
University of Miami,Credit Card,2100000,2008
BNY Mellon Shareowner Services,email,4500000,2008
Countrywide Financial Corp,SSN,2500000,2008
UK Home Office,SSN,84000,2008
RBS Worldpay,Full Details,1500000,2008
Auctioncokr,Credit Card,18000000,2008
GS Caltex,SSN,11100000,2008
AT&T,email,113000,2008
Stanford University,SSN,72000,2008
University of Utah Hospitals & Clinics,Personal Details,2200000,2008
Chile Ministry Of Education,email,6000000,2008
Texas Lottery,SSN,89000,2008
Starbucks,SSN,97000,2008
UK Ministry of Defence,Full Details,1700000,2008
T-Mobile Deutsche Telecom,email,17000000,2008
Norwegian Tax Authorities,SSN,3950000,2008
Service Personnel and Veterans Agency (UK),SSN,50500,2008
Monstercom,SSN,1600000,2007
Driving Standards Agency,SSN,3000000,2007
Fidelity National Information Services,Credit Card,8500000,2007
City and Hackney Teaching Primary Care Trust,SSN,160000,2007
Gap Inc,SSN,800000,2007
Dai Nippon Printing,email,8637405,2007
TK / TJ Maxx,Credit Card,94000000,2007
JP Morgan Chase,Credit Card,2600000,2007
UK Revenue & Customs,email,25000000,2007
TD Ameritrade,email,6300000,2007
AOL,email,20000000,2006
US Dept of Vet Affairs,SSN,26500000,2006
Automatic Data Processing,SSN,125000,2006
KDDI,email,4000000,2006
Hewlett Packard,SSN,200000,2006
Ameritrade Inc,SSN,200000,2005
Citigroup,Credit Card,3900000,2005
Cardsystems Solutions Inc ,Credit Card,40000000,2005
AOL,email,92000000,2004
