name,data_sensitivity,size,year
Tricare,Personal Details,4901432,2011
Apprena,SSN,1220000,2010
Xobelle,SSN,1023209,2010
Daytee,Full Details,260000,2010
Gawkercom,SSN,1500000,2010
Exoqo,Personal Details,398000,2010
Benchee,SSN,760000,2010
Queeker,Personal Details,180111,2010
Herbvi,SSN,105470,2010
AT&T,email,114000,2010
Trajectoryy,Personal Details,130495,2010
Irxoo,SSN,3300000,2010
US RBC,Credit Card,400000,2010
Zeetly,SSN,392000,2010
Heartland,Credit Card,130000000,2009
Nuvabit,SSN,131000,2009
RockYou,email,32000000,2009
Zelics,email,5000000,2009
Hadux,Credit Card,573000,2009
Spotella,SSN,531400,2009
UCB,Credit Card,160000,2009
Health Net ,Personal Details,1500000,2009
Guestably,SSN,76000000,2009
Compass Bank,Credit Card,1000000,2008
Ocoko,Credit Card,4200000,2008
Volcaano,Credit Card,2100000,2008
Estroga,email,4500000,2008
Denqa,SSN,2500000,2008
Tyato,SSN,84000,2008
Alzuro,Full Details,1500000,2008
Riddin,Credit Card,18000000,2008
Hyena,SSN,11100000,2008
Mondzo,email,113000,2008
Flow,SSN,72000,2008
Tiimely,Personal Details,2200000,2008
Zuperbe,email,6000000,2008
Jitani,SSN,89000,2008
Starbucks,SSN,97000,2008
Kooted,Full Details,1700000,2008
Fizzaz,email,17000000,2008
Ezete,SSN,3950000,2008
 Freighterr,SSN,50500,2008
Monstercom,SSN,1600000,2007
Tremendist,SSN,3000000,2007
Sculptar,Credit Card,8500000,2007
Rentayo,SSN,160000,2007
Gap Inc,SSN,800000,2007
Leanables,email,8637405,2007
Tynro,Credit Card,94000000,2007
Jewelix,Credit Card,2600000,2007
Joodies,email,25000000,2007
Dabiki,email,6300000,2007
AOL,email,20000000,2006
Duncey,SSN,26500000,2006
Eraserr,SSN,125000,2006
KDDI,email,4000000,2006
Fivini,SSN,200000,2006
Synzu,SSN,200000,2005
Citigroup,Credit Card,3900000,2005
Peckam,Credit Card,40000000,2005
AOL,email,92000000,2004
